Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 52098 connected to 10.0.0.4 port 5001
[  8]  21.01-22.01  sec   163 KBytes  1.34 Mbits/sec    0    144 KBytes       
[  8]  22.01-23.00  sec   189 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8]  23.00-24.00  sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8]  24.00-25.01  sec   179 KBytes  1.46 Mbits/sec    0    144 KBytes       
[  8]  25.01-26.00  sec   187 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8]  26.00-27.00  sec   178 KBytes  1.45 Mbits/sec    0    144 KBytes       
[  8]  27.00-28.00  sec   164 KBytes  1.35 Mbits/sec    0    144 KBytes       
[  8]  28.00-29.00  sec   188 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8]  29.00-30.00  sec   185 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8]  30.00-31.00  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  31.00-32.00  sec   172 KBytes  1.41 Mbits/sec    0    144 KBytes       
[  8]  32.00-33.01  sec   170 KBytes  1.38 Mbits/sec    0    144 KBytes       
[  8]  33.01-34.01  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  34.01-35.01  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  35.01-36.00  sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8]  36.00-37.00  sec   181 KBytes  1.49 Mbits/sec    0    144 KBytes       
[  8]  37.00-38.00  sec   171 KBytes  1.40 Mbits/sec    0    144 KBytes       
[  8]  38.00-39.00  sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8]  39.00-40.00  sec   166 KBytes  1.36 Mbits/sec    0    144 KBytes       
[  8]  40.00-41.01  sec   187 KBytes  1.51 Mbits/sec    0    144 KBytes       
[  8]  41.01-42.01  sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8]  42.01-43.01  sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8]  43.01-44.00  sec   176 KBytes  1.46 Mbits/sec    0    144 KBytes       
[  8]  44.00-45.01  sec   187 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8]  45.01-46.01  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  46.01-47.00  sec   156 KBytes  1.28 Mbits/sec    0    144 KBytes       
[  8]  47.00-48.00  sec   191 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8]  48.00-49.00  sec   192 KBytes  1.58 Mbits/sec    0    144 KBytes       
[  8]  49.00-50.00  sec   177 KBytes  1.45 Mbits/sec    0    144 KBytes       
[  8]  50.00-51.00  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  51.00-52.00  sec   156 KBytes  1.27 Mbits/sec    0    144 KBytes       
[  8]  52.00-53.00  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  53.00-54.00  sec   190 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8]  54.00-55.00  sec   183 KBytes  1.50 Mbits/sec    0    144 KBytes       
[  8]  55.00-56.00  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  56.00-57.00  sec   174 KBytes  1.43 Mbits/sec    0    144 KBytes       
[  8]  57.00-58.00  sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8]  58.00-59.00  sec   163 KBytes  1.34 Mbits/sec    0    144 KBytes       
[  8]  59.00-60.00  sec   189 KBytes  1.55 Mbits/sec    0    144 KBytes       
[  8]  60.00-61.00  sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8]  61.00-62.01  sec   179 KBytes  1.45 Mbits/sec    0    144 KBytes       
[  8]  62.01-63.01  sec   173 KBytes  1.42 Mbits/sec    0    144 KBytes       
[  8]  63.01-64.00  sec   192 KBytes  1.59 Mbits/sec    0    144 KBytes       
[  8]  64.00-65.01  sec   164 KBytes  1.33 Mbits/sec    0    144 KBytes       
[  8]  65.01-66.01  sec   188 KBytes  1.54 Mbits/sec    0    144 KBytes       
