Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 36204 connected to 10.0.0.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.01   sec  1.31 MBytes  10.9 Mbits/sec    0    126 KBytes       
[  8]   1.01-2.01   sec   226 KBytes  1.85 Mbits/sec    0    110 KBytes       
[  8]   2.01-3.00   sec   254 KBytes  2.10 Mbits/sec    0    113 KBytes       
[  8]   3.00-4.01   sec   274 KBytes  2.23 Mbits/sec    0    110 KBytes       
[  8]   4.01-5.00   sec   249 KBytes  2.05 Mbits/sec    0    113 KBytes       
[  8]   5.00-6.00   sec   249 KBytes  2.04 Mbits/sec    0    113 KBytes       
[  8]   6.00-7.00   sec   252 KBytes  2.06 Mbits/sec    0    119 KBytes       
[  8]   7.00-8.00   sec   277 KBytes  2.27 Mbits/sec    0    116 KBytes       
[  8]   8.00-9.00   sec   267 KBytes  2.19 Mbits/sec    0    107 KBytes       
[  8]   9.00-10.00  sec   262 KBytes  2.15 Mbits/sec    0    113 KBytes       
[  8]  10.00-11.01  sec   218 KBytes  1.77 Mbits/sec    0    113 KBytes       
[  8]  11.01-12.00  sec   280 KBytes  2.31 Mbits/sec    0    110 KBytes       
[  8]  12.00-13.00  sec   264 KBytes  2.17 Mbits/sec    0    110 KBytes       
[  8]  13.00-14.01  sec   256 KBytes  2.08 Mbits/sec    0    110 KBytes       
[  8]  14.01-15.01  sec   257 KBytes  2.11 Mbits/sec    0    113 KBytes       
[  8]  15.01-16.00  sec   255 KBytes  2.10 Mbits/sec    0    113 KBytes       
[  8]  16.00-17.00  sec   160 KBytes  1.31 Mbits/sec    0    110 KBytes       
[  8]  17.00-18.00  sec   270 KBytes  2.21 Mbits/sec    0    110 KBytes       
[  8]  18.00-19.00  sec   249 KBytes  2.05 Mbits/sec    0    110 KBytes       
[  8]  19.00-20.00  sec   249 KBytes  2.04 Mbits/sec    0    119 KBytes       
[  8]  20.00-21.01  sec   280 KBytes  2.27 Mbits/sec    0    116 KBytes       
[  8]  21.01-22.00  sec   249 KBytes  2.06 Mbits/sec    0    113 KBytes       
[  8]  22.00-23.00  sec   249 KBytes  2.04 Mbits/sec    0    110 KBytes       
[  8]  23.00-24.01  sec   249 KBytes  2.02 Mbits/sec    0    113 KBytes       
[  8]  24.01-25.00  sec   254 KBytes  2.09 Mbits/sec    0    110 KBytes       
[  8]  25.00-26.00  sec   256 KBytes  2.10 Mbits/sec    0    107 KBytes       
[  8]  26.00-27.00  sec   268 KBytes  2.19 Mbits/sec    0    110 KBytes       
[  8]  27.00-28.00  sec   249 KBytes  2.04 Mbits/sec    0    110 KBytes       
[  8]  28.00-29.00  sec   251 KBytes  2.06 Mbits/sec    0    110 KBytes       
[  8]  29.00-30.00  sec   256 KBytes  2.10 Mbits/sec    0   5.66 KBytes       
[  8]  30.00-31.00  sec   192 KBytes  1.57 Mbits/sec    0    113 KBytes       
[  8]  31.00-32.01  sec   265 KBytes  2.15 Mbits/sec    0    113 KBytes       
[  8]  32.01-33.01  sec   249 KBytes  2.04 Mbits/sec    0    113 KBytes       
[  8]  33.01-34.01  sec   254 KBytes  2.08 Mbits/sec    0    113 KBytes       
[  8]  34.01-35.00  sec   256 KBytes  2.11 Mbits/sec    0    113 KBytes       
[  8]  35.00-36.00  sec   268 KBytes  2.19 Mbits/sec    0    113 KBytes       
[  8]  36.00-37.00  sec   249 KBytes  2.04 Mbits/sec    0    113 KBytes       
[  8]  37.00-38.00  sec   251 KBytes  2.05 Mbits/sec    0    113 KBytes       
[  8]  38.00-39.00  sec   278 KBytes  2.28 Mbits/sec    0    113 KBytes       
[  8]  39.00-40.00  sec   249 KBytes  2.04 Mbits/sec    0    113 KBytes       
[  8]  40.00-41.00  sec   274 KBytes  2.24 Mbits/sec    0    110 KBytes       
[  8]  41.00-42.00  sec   224 KBytes  1.84 Mbits/sec    0    113 KBytes       
[  8]  42.00-43.01  sec   256 KBytes  2.08 Mbits/sec    0    113 KBytes       
[  8]  43.01-44.00  sec   273 KBytes  2.26 Mbits/sec    0    110 KBytes       
[  8]  44.00-45.00  sec   249 KBytes  2.04 Mbits/sec    0    110 KBytes       
[  8]  45.00-46.01  sec   249 KBytes  2.03 Mbits/sec    0    110 KBytes       
[  8]  46.01-47.00  sec   280 KBytes  2.31 Mbits/sec    0    110 KBytes       
[  8]  47.00-48.02  sec   261 KBytes  2.11 Mbits/sec    0    110 KBytes       
[  8]  48.02-49.00  sec   256 KBytes  2.12 Mbits/sec    0    110 KBytes       
[  8]  49.00-50.00  sec   260 KBytes  2.14 Mbits/sec    0    113 KBytes       
[  8]  50.00-51.00  sec   252 KBytes  2.06 Mbits/sec    0    113 KBytes       
