Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 36312 connected to 10.0.0.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.01   sec   139 KBytes  1.12 Mbits/sec    7   1.41 KBytes       
[  8]   1.01-2.00   sec  0.00 Bytes  0.00 bits/sec   16   1.41 KBytes       
[  8]   2.00-3.00   sec  31.1 KBytes   255 Kbits/sec   11   8.48 KBytes       
[  8]   3.00-4.01   sec  5.66 KBytes  46.0 Kbits/sec    0   8.48 KBytes       
[  8]   4.01-5.00   sec  48.7 KBytes   401 Kbits/sec    0   8.48 KBytes       
[  8]   5.00-6.00   sec  47.5 KBytes   387 Kbits/sec    0   8.48 KBytes       
[  8]   6.00-7.00   sec  62.2 KBytes   512 Kbits/sec    0   8.48 KBytes       
[  8]   7.00-8.00   sec  31.1 KBytes   254 Kbits/sec    0   8.48 KBytes       
[  8]   8.00-9.00   sec  31.1 KBytes   256 Kbits/sec    0   8.48 KBytes       
[  8]   9.00-10.00  sec  31.1 KBytes   255 Kbits/sec    0   8.48 KBytes       
[  8]  10.00-11.01  sec  31.1 KBytes   252 Kbits/sec    0   8.48 KBytes       
[  8]  11.01-12.00  sec  31.1 KBytes   257 Kbits/sec    0   8.48 KBytes       
[  8]  12.00-13.01  sec  31.1 KBytes   253 Kbits/sec    0   8.48 KBytes       
[  8]  13.01-14.01  sec  31.1 KBytes   255 Kbits/sec    0   8.48 KBytes       
[  8]  14.01-15.00  sec  31.1 KBytes   257 Kbits/sec    0   8.48 KBytes       
[  8]  15.00-16.01  sec  57.4 KBytes   468 Kbits/sec    0   8.48 KBytes       
[  8]  16.01-17.00  sec  32.0 KBytes   262 Kbits/sec    0   8.48 KBytes       
[  8]  17.00-18.00  sec  3.92 KBytes  32.2 Kbits/sec    0   8.48 KBytes       
[  8]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  19.00-20.00  sec  42.4 KBytes   348 Kbits/sec    0   8.48 KBytes       
[  8]  20.00-21.01  sec  49.7 KBytes   405 Kbits/sec    0   8.48 KBytes       
[  8]  21.01-22.00  sec  74.8 KBytes   616 Kbits/sec    0   8.48 KBytes       
[  8]  22.00-23.00  sec  31.1 KBytes   255 Kbits/sec    0   8.48 KBytes       
[  8]  23.00-24.00  sec  31.1 KBytes   255 Kbits/sec    0   8.48 KBytes       
[  8]  24.00-25.01  sec  31.1 KBytes   253 Kbits/sec    0   8.48 KBytes       
[  8]  25.01-26.00  sec  31.1 KBytes   256 Kbits/sec    0   8.48 KBytes       
[  8]  26.00-27.00  sec  31.1 KBytes   254 Kbits/sec    0   8.48 KBytes       
[  8]  27.00-28.00  sec  31.1 KBytes   255 Kbits/sec    0   8.48 KBytes       
[  8]  28.00-29.00  sec  31.1 KBytes   256 Kbits/sec    0   8.48 KBytes       
[  8]  29.00-30.00  sec  31.1 KBytes   255 Kbits/sec    0   8.48 KBytes       
[  8]  30.00-31.01  sec  31.1 KBytes   252 Kbits/sec    0   8.48 KBytes       
[  8]  31.01-32.00  sec  31.1 KBytes   258 Kbits/sec    0   8.48 KBytes       
[  8]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  33.00-34.00  sec  5.66 KBytes  46.3 Kbits/sec    0   8.48 KBytes       
[  8]  34.00-35.01  sec  24.5 KBytes   199 Kbits/sec    0   8.48 KBytes       
[  8]  35.01-36.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  37.00-38.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
