Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 36256 connected to 10.0.0.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.00   sec   480 KBytes  3.93 Mbits/sec    0   31.1 KBytes       
[  8]   1.00-2.00   sec   124 KBytes  1.01 Mbits/sec    0    164 KBytes       
[  8]   2.00-3.00   sec   164 KBytes  1.35 Mbits/sec    0    215 KBytes       
[  8]   3.00-4.00   sec   192 KBytes  1.57 Mbits/sec    0    170 KBytes       
[  8]   4.00-5.00   sec   192 KBytes  1.57 Mbits/sec    0    173 KBytes       
[  8]   5.00-6.00   sec   167 KBytes  1.37 Mbits/sec    0    173 KBytes       
[  8]   6.00-7.00   sec   187 KBytes  1.53 Mbits/sec    0    187 KBytes       
[  8]   7.00-8.00   sec   190 KBytes  1.56 Mbits/sec    0    187 KBytes       
[  8]   8.00-9.00   sec   192 KBytes  1.57 Mbits/sec    0    195 KBytes       
[  8]   9.00-10.00  sec   178 KBytes  1.46 Mbits/sec    0    195 KBytes       
[  8]  10.00-11.00  sec   187 KBytes  1.53 Mbits/sec    0    195 KBytes       
[  8]  11.00-12.00  sec   187 KBytes  1.53 Mbits/sec    0    195 KBytes       
[  8]  12.00-13.00  sec   187 KBytes  1.53 Mbits/sec    0    192 KBytes       
[  8]  13.00-14.00  sec   190 KBytes  1.56 Mbits/sec    0    192 KBytes       
[  8]  14.00-15.00  sec   183 KBytes  1.50 Mbits/sec    0    187 KBytes       
[  8]  15.00-16.00  sec   187 KBytes  1.53 Mbits/sec    0    187 KBytes       
[  8]  16.00-17.00  sec   187 KBytes  1.53 Mbits/sec    0    189 KBytes       
[  8]  17.00-18.00  sec   187 KBytes  1.53 Mbits/sec    0    187 KBytes       
[  8]  18.00-19.00  sec   187 KBytes  1.53 Mbits/sec    0    187 KBytes       
[  8]  19.00-20.00  sec   190 KBytes  1.56 Mbits/sec    0    189 KBytes       
[  8]  20.00-21.00  sec   183 KBytes  1.50 Mbits/sec    0    189 KBytes       
[  8]  21.00-22.00  sec   156 KBytes  1.27 Mbits/sec    0    189 KBytes       
[  8]  22.00-23.00  sec   109 KBytes   895 Kbits/sec    0    189 KBytes       
[  8]  23.00-24.00  sec   171 KBytes  1.40 Mbits/sec    0    189 KBytes       
[  8]  24.00-25.00  sec   187 KBytes  1.53 Mbits/sec    0    189 KBytes       
[  8]  25.00-26.00  sec   187 KBytes  1.53 Mbits/sec    0    175 KBytes       
[  8]  26.00-27.00  sec   192 KBytes  1.57 Mbits/sec    0    187 KBytes       
[  8]  27.00-28.00  sec   181 KBytes  1.49 Mbits/sec    0    192 KBytes       
[  8]  28.00-29.00  sec   187 KBytes  1.53 Mbits/sec    0    192 KBytes       
[  8]  29.00-30.00  sec   176 KBytes  1.44 Mbits/sec    0    192 KBytes       
[  8]  30.00-31.00  sec   192 KBytes  1.57 Mbits/sec    0    192 KBytes       
[  8]  31.00-32.00  sec   161 KBytes  1.32 Mbits/sec    0    192 KBytes       
[  8]  32.00-33.00  sec   191 KBytes  1.57 Mbits/sec    0    198 KBytes       
[  8]  33.00-34.00  sec   192 KBytes  1.57 Mbits/sec    0    198 KBytes       
[  8]  34.00-35.00  sec   192 KBytes  1.57 Mbits/sec    0    198 KBytes       
[  8]  35.00-36.00  sec   192 KBytes  1.57 Mbits/sec    0    198 KBytes       
[  8]  36.00-37.00  sec   192 KBytes  1.57 Mbits/sec    0    195 KBytes       
[  8]  37.00-38.00  sec   161 KBytes  1.32 Mbits/sec    0    195 KBytes       
[  8]  38.00-39.00  sec   191 KBytes  1.57 Mbits/sec    0    192 KBytes       
[  8]  39.00-40.00  sec   192 KBytes  1.57 Mbits/sec    0   5.66 KBytes       
[  8]  40.00-41.00  sec  96.0 KBytes   786 Kbits/sec    0    192 KBytes       
[  8]  41.00-42.00  sec   174 KBytes  1.43 Mbits/sec    0    187 KBytes       
[  8]  42.00-43.00  sec   187 KBytes  1.53 Mbits/sec    0    192 KBytes       
[  8]  43.00-44.00  sec   187 KBytes  1.53 Mbits/sec    0    192 KBytes       
[  8]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    3   1.41 KBytes       
[  8]  45.00-46.00  sec  62.2 KBytes   510 Kbits/sec   21    164 KBytes       
[  8]  46.00-47.00  sec  62.4 KBytes   511 Kbits/sec    0    167 KBytes       
[  8]  47.00-48.00  sec  32.0 KBytes   262 Kbits/sec    0    161 KBytes       
[  8]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    0   25.5 KBytes       
[  8]  49.00-50.00  sec  32.0 KBytes   262 Kbits/sec    0   22.6 KBytes       
[  8]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[  8]  51.00-52.00  sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  53.00-54.00  sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  55.00-56.00  sec  27.4 KBytes   224 Kbits/sec    0   19.8 KBytes       
[  8]  56.00-57.00  sec  4.63 KBytes  38.0 Kbits/sec    0   19.8 KBytes       
[  8]  57.00-58.00  sec  26.5 KBytes   217 Kbits/sec    0   19.8 KBytes       
[  8]  58.00-59.00  sec  5.52 KBytes  45.2 Kbits/sec    0   19.8 KBytes       
[  8]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  60.00-61.00  sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  62.00-63.00  sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  64.00-65.00  sec  23.8 KBytes   195 Kbits/sec    0   19.8 KBytes       
[  8]  65.00-66.00  sec  8.20 KBytes  67.1 Kbits/sec    0   17.0 KBytes       
[  8]  66.00-67.00  sec  22.9 KBytes   188 Kbits/sec    0   17.0 KBytes       
[  8]  67.00-68.00  sec  9.09 KBytes  74.4 Kbits/sec    0   19.8 KBytes       
[  8]  68.00-69.00  sec  22.0 KBytes   180 Kbits/sec    0   19.8 KBytes       
[  8]  69.00-70.00  sec  9.98 KBytes  81.7 Kbits/sec    0   19.8 KBytes       
[  8]  70.00-71.00  sec  21.1 KBytes   173 Kbits/sec    0   19.8 KBytes       
[  8]  71.00-72.00  sec  10.9 KBytes  89.0 Kbits/sec    0   19.8 KBytes       
[  8]  72.00-73.00  sec  20.2 KBytes   166 Kbits/sec    0   19.8 KBytes       
[  8]  73.00-74.00  sec  11.8 KBytes  96.3 Kbits/sec    0   19.8 KBytes       
[  8]  74.00-75.00  sec  19.4 KBytes   159 Kbits/sec    0   19.8 KBytes       
[  8]  75.00-76.00  sec  12.6 KBytes   104 Kbits/sec    0   19.8 KBytes       
[  8]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  8]  77.00-78.00  sec  18.5 KBytes   151 Kbits/sec    0   19.8 KBytes       
[  8]  78.00-79.00  sec  13.5 KBytes   111 Kbits/sec    0   19.8 KBytes       
[  8]  79.00-80.00  sec  17.6 KBytes   144 Kbits/sec    0   19.8 KBytes       
[  8]  80.00-81.00  sec  14.4 KBytes   118 Kbits/sec    0   19.8 KBytes       
[  8]  81.00-82.00  sec  16.7 KBytes   137 Kbits/sec    0   19.8 KBytes       
[  8]  82.00-83.00  sec  15.3 KBytes   126 Kbits/sec    0   19.8 KBytes       
[  8]  83.00-84.00  sec  15.8 KBytes   129 Kbits/sec    0   19.8 KBytes       
[  8]  84.00-85.00  sec  16.2 KBytes   133 Kbits/sec    0   19.8 KBytes       
[  8]  85.00-86.00  sec  14.9 KBytes   122 Kbits/sec    0   19.8 KBytes       
[  8]  86.00-87.00  sec  17.1 KBytes   140 Kbits/sec    0   19.8 KBytes       
[  8]  87.00-88.00  sec  14.0 KBytes   115 Kbits/sec    0   19.8 KBytes       
[  8]  88.00-89.00  sec  18.0 KBytes   147 Kbits/sec    0   19.8 KBytes       
[  8]  89.00-90.00  sec  13.1 KBytes   107 Kbits/sec    0   19.8 KBytes       
[  8]  90.00-91.00  sec  18.9 KBytes   155 Kbits/sec    0   19.8 KBytes       
[  8]  91.00-92.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  92.00-93.00  sec  12.2 KBytes   100 Kbits/sec    0   19.8 KBytes       
[  8]  93.00-94.00  sec  19.8 KBytes   162 Kbits/sec    0   19.8 KBytes       
[  8]  94.00-95.00  sec   354 KBytes  2.90 Mbits/sec    0   19.8 KBytes       
[  8]  95.00-96.00  sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  8]  96.00-97.00  sec  31.1 KBytes   255 Kbits/sec    0   19.8 KBytes       
[  8]  97.00-98.00  sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8]  98.00-99.00  sec  31.4 KBytes   257 Kbits/sec    0   19.8 KBytes       
[  8]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 100.00-101.00 sec  30.9 KBytes   253 Kbits/sec    0   19.8 KBytes       
[  8] 101.00-102.00 sec  1.13 KBytes  9.28 Kbits/sec    0   19.8 KBytes       
[  8] 102.00-103.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 103.00-104.00 sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8] 104.00-105.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 105.00-106.00 sec  32.0 KBytes   262 Kbits/sec    0   19.8 KBytes       
[  8] 106.00-107.00 sec  0.00 Bytes  0.00 bits/sec    0   17.0 KBytes       
[  8] 107.00-108.00 sec  32.0 KBytes   262 Kbits/sec    0   17.0 KBytes       
[  8] 108.00-109.00 sec  0.00 Bytes  0.00 bits/sec    0   19.8 KBytes       
[  8] 109.00-110.00 sec  27.3 KBytes   224 Kbits/sec    0   19.8 KBytes       
[  8] 110.00-111.00 sec  4.70 KBytes  38.5 Kbits/sec    0   19.8 KBytes       
[  8] 111.00-112.00 sec  26.4 KBytes   216 Kbits/sec    0   19.8 KBytes       
