Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 36132 connected to 10.0.0.3 port 5001
[  8]  60.00-61.00  sec   187 KBytes  1.53 Mbits/sec    0    139 KBytes       
[  8]  61.00-62.00  sec   187 KBytes  1.53 Mbits/sec    0    139 KBytes       
[  8]  62.00-63.01  sec   187 KBytes  1.51 Mbits/sec    0    139 KBytes       
[  8]  63.01-64.01  sec   180 KBytes  1.48 Mbits/sec    0    139 KBytes       
[  8]  64.01-65.00  sec   162 KBytes  1.34 Mbits/sec    0    144 KBytes       
[  8]  65.00-66.00  sec   190 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8]  66.00-67.00  sec   183 KBytes  1.50 Mbits/sec    0    144 KBytes       
[  8]  67.00-68.01  sec   187 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8]  68.01-69.00  sec   174 KBytes  1.43 Mbits/sec    0    144 KBytes       
[  8]  69.00-70.00  sec   168 KBytes  1.38 Mbits/sec    0    144 KBytes       
[  8]  70.00-71.00  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  71.00-72.00  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  72.00-73.01  sec   163 KBytes  1.32 Mbits/sec    0    144 KBytes       
[  8]  73.01-74.00  sec   192 KBytes  1.59 Mbits/sec    0    144 KBytes       
[  8]  74.00-75.00  sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8]  75.00-76.01  sec   169 KBytes  1.37 Mbits/sec    0    144 KBytes       
[  8]  76.01-77.00  sec   187 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8]  77.00-78.00  sec   156 KBytes  1.28 Mbits/sec    0    144 KBytes       
[  8]  78.00-79.00  sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8]  79.00-80.00  sec   192 KBytes  1.58 Mbits/sec    0    144 KBytes       
[  8]  80.00-81.00  sec   175 KBytes  1.43 Mbits/sec    0    144 KBytes       
[  8]  81.00-82.00  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  82.00-83.00  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  83.00-84.01  sec   188 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8]  84.01-85.00  sec   186 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8]  85.00-86.01  sec   166 KBytes  1.35 Mbits/sec    0    144 KBytes       
[  8]  86.01-87.00  sec   192 KBytes  1.59 Mbits/sec    0    144 KBytes       
[  8]  87.00-88.00  sec   171 KBytes  1.40 Mbits/sec    0    144 KBytes       
[  8]  88.00-89.00  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  89.00-90.00  sec   187 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8]  90.00-91.00  sec   160 KBytes  1.31 Mbits/sec    0    144 KBytes       
[  8]  91.00-92.00  sec   192 KBytes  1.58 Mbits/sec    0    144 KBytes       
[  8]  92.00-93.00  sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8]  93.00-94.01  sec   192 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8]  94.01-95.01  sec   166 KBytes  1.36 Mbits/sec    0    144 KBytes       
[  8]  95.01-96.00  sec   187 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8]  96.00-97.00  sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8]  97.00-98.01  sec   187 KBytes  1.52 Mbits/sec    0    144 KBytes       
[  8]  98.01-99.00  sec   170 KBytes  1.40 Mbits/sec    0    144 KBytes       
[  8]  99.00-100.00 sec   192 KBytes  1.57 Mbits/sec    0    144 KBytes       
[  8] 100.00-101.00 sec   167 KBytes  1.37 Mbits/sec    0    144 KBytes       
[  8] 101.00-102.00 sec   187 KBytes  1.53 Mbits/sec    0    144 KBytes       
[  8] 102.00-103.00 sec   190 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8] 103.00-104.01 sec   192 KBytes  1.56 Mbits/sec    0    144 KBytes       
[  8] 104.01-105.00 sec   177 KBytes  1.47 Mbits/sec    0    144 KBytes       
[  8] 105.00-106.01 sec   175 KBytes  1.42 Mbits/sec    0    144 KBytes       
[  8] 106.01-107.01 sec   168 KBytes  1.37 Mbits/sec    0    144 KBytes       
[  8] 107.01-108.00 sec   187 KBytes  1.54 Mbits/sec    0    144 KBytes       
[  8] 108.00-109.00 sec   190 KBytes  1.55 Mbits/sec    0    144 KBytes       
[  8] 109.00-110.00 sec   160 KBytes  1.31 Mbits/sec    0    144 KBytes       
[  8] 110.00-111.00 sec   210 KBytes  1.72 Mbits/sec    0    144 KBytes       
[  8] 111.00-112.00 sec   174 KBytes  1.43 Mbits/sec    0    144 KBytes       
