Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 36278 connected to 10.0.0.3 port 5001
[  8]  66.01-67.01  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  67.01-68.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  73.00-74.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  75.00-76.01  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  76.01-77.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[  8]  82.00-83.01  sec   175 KBytes  1.42 Mbits/sec    0   8.48 KBytes       
[  8]  83.01-84.00  sec   124 KBytes  1.03 Mbits/sec    0   8.48 KBytes       
[  8]  84.00-85.01  sec   130 KBytes  1.06 Mbits/sec    0   8.48 KBytes       
[  8]  85.01-86.00  sec   127 KBytes  1.05 Mbits/sec    0   8.48 KBytes       
[  8]  86.00-87.01  sec   115 KBytes   936 Kbits/sec    0   8.48 KBytes       
[  8]  87.01-88.01  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  88.01-89.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  91.00-92.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  92.00-93.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  93.00-94.01  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  94.01-95.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  95.00-96.01  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  96.01-97.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  97.00-98.01  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  98.01-99.00  sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 102.00-103.00 sec   160 KBytes  1.31 Mbits/sec    0   8.48 KBytes       
[  8] 103.00-104.01 sec   128 KBytes  1.04 Mbits/sec    0   8.48 KBytes       
[  8] 104.01-105.00 sec   128 KBytes  1.06 Mbits/sec    0   8.48 KBytes       
[  8] 105.00-106.01 sec   128 KBytes  1.04 Mbits/sec    0   8.48 KBytes       
[  8] 106.01-107.00 sec   128 KBytes  1.06 Mbits/sec    0   8.48 KBytes       
[  8] 107.00-108.01 sec   128 KBytes  1.04 Mbits/sec    0   8.48 KBytes       
[  8] 108.01-109.00 sec   128 KBytes  1.06 Mbits/sec    0   8.48 KBytes       
[  8] 109.00-110.00 sec   128 KBytes  1.04 Mbits/sec    0   8.48 KBytes       
[  8] 110.00-111.00 sec   128 KBytes  1.05 Mbits/sec    0   8.48 KBytes       
[  8] 111.00-112.00 sec   128 KBytes  1.05 Mbits/sec    0   8.48 KBytes       
[  8] 112.00-113.00 sec   128 KBytes  1.05 Mbits/sec    0   8.48 KBytes       
[  8] 113.00-114.00 sec   149 KBytes  1.22 Mbits/sec    0   8.48 KBytes       
[  8] 114.00-115.00 sec   127 KBytes  1.04 Mbits/sec    0   8.48 KBytes       
