Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 34956 connected to 10.0.0.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]  32.00-33.00  sec  22.5 MBytes   189 Mbits/sec    0   2.13 MBytes       
[  8]  33.00-34.00  sec  22.5 MBytes   189 Mbits/sec    0   2.14 MBytes       
[  8]  34.00-35.00  sec  18.8 MBytes   157 Mbits/sec    0   5.66 KBytes       
[  8]  35.00-36.00  sec  21.2 MBytes   178 Mbits/sec    0   2.13 MBytes       
[  8]  36.00-37.00  sec  22.5 MBytes   189 Mbits/sec    0   2.15 MBytes       
[  8]  37.00-38.00  sec  22.5 MBytes   189 Mbits/sec    0   2.09 MBytes       
[  8]  38.00-39.00  sec  22.5 MBytes   189 Mbits/sec    0   2.12 MBytes       
[  8]  39.00-40.00  sec  22.5 MBytes   189 Mbits/sec    0   2.08 MBytes       
[  8]  40.00-41.00  sec  22.5 MBytes   189 Mbits/sec    0   2.13 MBytes       
[  8]  41.00-42.00  sec  22.5 MBytes   189 Mbits/sec    0   2.10 MBytes       
[  8]  42.00-43.00  sec  22.5 MBytes   189 Mbits/sec    0   2.11 MBytes       
[  8]  43.00-44.00  sec  22.5 MBytes   189 Mbits/sec    0   2.10 MBytes       
[  8]  44.00-45.00  sec  22.5 MBytes   189 Mbits/sec    0   2.11 MBytes       
[  8]  45.00-46.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.85 MBytes       
[  8]  46.00-47.00  sec  18.8 MBytes   157 Mbits/sec    0   1.97 MBytes       
[  8]  47.00-48.00  sec  20.0 MBytes   168 Mbits/sec    0   1.96 MBytes       
[  8]  48.00-49.00  sec  20.0 MBytes   168 Mbits/sec    0   1.89 MBytes       
[  8]  49.00-50.00  sec  20.0 MBytes   168 Mbits/sec    0   1.94 MBytes       
[  8]  50.00-51.00  sec  20.0 MBytes   168 Mbits/sec    0   1.94 MBytes       
[  8]  51.00-52.00  sec  20.0 MBytes   168 Mbits/sec    0   2.04 MBytes       
[  8]  52.00-53.00  sec  21.2 MBytes   178 Mbits/sec    0   1.99 MBytes       
[  8]  53.00-54.00  sec  20.0 MBytes   168 Mbits/sec    0   2.01 MBytes       
[  8]  54.00-55.00  sec  18.8 MBytes   157 Mbits/sec    0   1.85 MBytes       
[  8]  55.00-56.00  sec  17.5 MBytes   147 Mbits/sec    0   5.66 KBytes       
[  8]  56.00-57.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.22 MBytes       
[  8]  57.00-58.00  sec  12.5 MBytes   105 Mbits/sec    0   1.16 MBytes       
[  8]  58.00-59.00  sec  12.5 MBytes   105 Mbits/sec    0   1.44 MBytes       
[  8]  59.00-60.00  sec  13.8 MBytes   115 Mbits/sec    0   1.41 MBytes       
[  8]  60.00-61.00  sec  12.5 MBytes   105 Mbits/sec    0   1.39 MBytes       
[  8]  61.00-62.00  sec  13.8 MBytes   115 Mbits/sec    0   1.42 MBytes       
[  8]  62.00-63.00  sec  12.5 MBytes   105 Mbits/sec    0   1.22 MBytes       
[  8]  63.00-64.00  sec  7.50 MBytes  62.9 Mbits/sec    0    684 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  8]   0.00-64.00  sec  1.02 GBytes   136 Mbits/sec    0             sender
[  8]   0.00-64.07  sec  1018 MBytes   133 Mbits/sec                  receiver

iperf Done.
