Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 36636 connected to 10.0.0.3 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.00   sec  1.31 MBytes  11.0 Mbits/sec    0    143 KBytes       
[  8]   1.00-2.01   sec   226 KBytes  1.83 Mbits/sec    0    119 KBytes       
[  8]   2.01-3.00   sec   254 KBytes  2.10 Mbits/sec    0    119 KBytes       
[  8]   3.00-4.01   sec   288 KBytes  2.33 Mbits/sec    0    110 KBytes       
[  8]   4.01-5.01   sec   256 KBytes  2.11 Mbits/sec    0    110 KBytes       
[  8]   5.01-6.00   sec   259 KBytes  2.14 Mbits/sec    0    110 KBytes       
[  8]   6.00-7.00   sec   253 KBytes  2.06 Mbits/sec    0    110 KBytes       
[  8]   7.00-8.00   sec   256 KBytes  2.10 Mbits/sec    0    107 KBytes       
[  8]   8.00-9.00   sec   256 KBytes  2.10 Mbits/sec    0    110 KBytes       
[  8]   9.00-10.00  sec   256 KBytes  2.10 Mbits/sec    0    116 KBytes       
[  8]  10.00-11.00  sec   224 KBytes  1.84 Mbits/sec    0    113 KBytes       
[  8]  11.00-12.02  sec   280 KBytes  2.25 Mbits/sec    0    110 KBytes       
[  8]  12.02-13.00  sec   249 KBytes  2.08 Mbits/sec    0    113 KBytes       
[  8]  13.00-14.00  sec   249 KBytes  2.04 Mbits/sec    0    113 KBytes       
[  8]  14.00-15.00  sec   249 KBytes  2.04 Mbits/sec    0    110 KBytes       
[  8]  15.00-16.00  sec   254 KBytes  2.08 Mbits/sec    0    110 KBytes       
[  8]  16.00-17.00  sec   275 KBytes  2.24 Mbits/sec    0    107 KBytes       
[  8]  17.00-18.00  sec   269 KBytes  2.20 Mbits/sec    0    107 KBytes       
[  8]  18.00-19.00  sec   256 KBytes  2.10 Mbits/sec    0    107 KBytes       
[  8]  19.00-20.00  sec   224 KBytes  1.84 Mbits/sec    0    110 KBytes       
[  8]  20.00-21.01  sec   288 KBytes  2.33 Mbits/sec    0    107 KBytes       
[  8]  21.01-22.00  sec   256 KBytes  2.12 Mbits/sec    0    113 KBytes       
[  8]  22.00-23.00  sec   263 KBytes  2.15 Mbits/sec    0    119 KBytes       
[  8]  23.00-24.00  sec   249 KBytes  2.04 Mbits/sec    0    116 KBytes       
[  8]  24.00-25.01  sec   256 KBytes  2.08 Mbits/sec    0    110 KBytes       
[  8]  25.01-26.01  sec   256 KBytes  2.10 Mbits/sec    0    110 KBytes       
[  8]  26.01-27.00  sec   265 KBytes  2.18 Mbits/sec    0    110 KBytes       
[  8]  27.00-28.00  sec   249 KBytes  2.04 Mbits/sec    0    110 KBytes       
[  8]  28.00-29.00  sec   254 KBytes  2.07 Mbits/sec    0    107 KBytes       
[  8]  29.00-30.00  sec   275 KBytes  2.26 Mbits/sec    0    107 KBytes       
[  8]  30.00-31.01  sec   269 KBytes  2.18 Mbits/sec    0    110 KBytes       
[  8]  31.01-32.01  sec   260 KBytes  2.13 Mbits/sec    0    110 KBytes       
[  8]  32.01-33.00  sec   156 KBytes  1.29 Mbits/sec    0    113 KBytes       
[  8]  33.00-34.00  sec   256 KBytes  2.10 Mbits/sec    0    116 KBytes       
[  8]  34.00-35.00  sec   256 KBytes  2.10 Mbits/sec    0    116 KBytes       
[  8]  35.00-36.01  sec   265 KBytes  2.16 Mbits/sec    0    107 KBytes       
[  8]  36.01-37.00  sec   249 KBytes  2.05 Mbits/sec    0    110 KBytes       
[  8]  37.00-38.00  sec   254 KBytes  2.07 Mbits/sec    0    110 KBytes       
[  8]  38.00-39.00  sec   256 KBytes  2.10 Mbits/sec    0    107 KBytes       
[  8]  39.00-40.00  sec   268 KBytes  2.19 Mbits/sec    0    110 KBytes       
[  8]  40.00-41.00  sec   249 KBytes  2.04 Mbits/sec    0    110 KBytes       
[  8]  41.00-42.01  sec   251 KBytes  2.04 Mbits/sec    0    110 KBytes       
[  8]  42.01-43.01  sec   256 KBytes  2.10 Mbits/sec    0    110 KBytes       
[  8]  43.01-44.00  sec   256 KBytes  2.12 Mbits/sec    0    116 KBytes       
[  8]  44.00-45.01  sec   263 KBytes  2.14 Mbits/sec    0    116 KBytes       
[  8]  45.01-46.00  sec   218 KBytes  1.80 Mbits/sec    0    110 KBytes       
[  8]  46.00-47.01  sec   255 KBytes  2.08 Mbits/sec    0    107 KBytes       
[  8]  47.01-48.00  sec   256 KBytes  2.10 Mbits/sec    0    110 KBytes       
[  8]  48.00-49.00  sec   204 KBytes  1.68 Mbits/sec    0    110 KBytes       
[  8]  49.00-50.00  sec   218 KBytes  1.79 Mbits/sec    0    113 KBytes       
[  8]  50.00-51.00  sec   250 KBytes  2.04 Mbits/sec    0    113 KBytes       
[  8]  51.00-52.00  sec   288 KBytes  2.36 Mbits/sec    0    113 KBytes       
[  8]  52.00-53.00  sec   256 KBytes  2.10 Mbits/sec    0    113 KBytes       
[  8]  53.00-54.00  sec   264 KBytes  2.16 Mbits/sec    0    110 KBytes       
[  8]  54.00-55.00  sec   249 KBytes  2.04 Mbits/sec    0    110 KBytes       
[  8]  55.00-56.01  sec   255 KBytes  2.08 Mbits/sec    0    107 KBytes       
[  8]  56.01-57.02  sec   274 KBytes  2.22 Mbits/sec    0    110 KBytes       
[  8]  57.02-58.00  sec   249 KBytes  2.07 Mbits/sec    0    110 KBytes       
[  8]  58.00-59.00  sec   249 KBytes  2.04 Mbits/sec    0    110 KBytes       
[  8]  59.00-60.00  sec   253 KBytes  2.07 Mbits/sec    0    113 KBytes       
[  8]  60.00-61.00  sec   256 KBytes  2.09 Mbits/sec    0    110 KBytes       
[  8]  61.00-62.00  sec   288 KBytes  2.36 Mbits/sec    0    107 KBytes       
[  8]  62.00-63.00  sec   256 KBytes  2.10 Mbits/sec    0    110 KBytes       
[  8]  63.00-64.01  sec   192 KBytes  1.56 Mbits/sec    0   5.66 KBytes       
[  8]  64.01-65.01  sec   224 KBytes  1.84 Mbits/sec    0    113 KBytes       
[  8]  65.01-66.01  sec   256 KBytes  2.10 Mbits/sec    0    113 KBytes       
[  8]  66.01-67.00  sec   266 KBytes  2.20 Mbits/sec    0    113 KBytes       
[  8]  67.00-68.00  sec   249 KBytes  2.04 Mbits/sec    0    116 KBytes       
[  8]  68.00-69.00  sec   253 KBytes  2.06 Mbits/sec    0    116 KBytes       
[  8]  69.00-70.00  sec   256 KBytes  2.10 Mbits/sec    0    107 KBytes       
[  8]  70.00-71.00  sec   256 KBytes  2.10 Mbits/sec    0    113 KBytes       
[  8]  71.00-72.00  sec   262 KBytes  2.14 Mbits/sec    0    113 KBytes       
[  8]  72.00-73.01  sec   250 KBytes  2.03 Mbits/sec    0    110 KBytes       
[  8]  73.01-74.00  sec   256 KBytes  2.12 Mbits/sec    0    110 KBytes       
[  8]  74.00-75.01  sec   272 KBytes  2.21 Mbits/sec    0    107 KBytes       
[  8]  75.01-76.02  sec   249 KBytes  2.02 Mbits/sec    0    107 KBytes       
[  8]  76.02-77.00  sec   249 KBytes  2.08 Mbits/sec    0    107 KBytes       
