Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 52620 connected to 10.0.0.4 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.00   sec  1.20 MBytes  10.0 Mbits/sec    0   31.1 KBytes       
[  8]   1.00-2.01   sec   124 KBytes  1.01 Mbits/sec    0    160 KBytes       
[  8]   2.01-3.01   sec   156 KBytes  1.27 Mbits/sec    0    206 KBytes       
[  8]   3.01-4.01   sec   190 KBytes  1.56 Mbits/sec    0    161 KBytes       
[  8]   4.01-5.00   sec   192 KBytes  1.58 Mbits/sec    0    170 KBytes       
[  8]   5.00-6.00   sec   178 KBytes  1.45 Mbits/sec    0    175 KBytes       
[  8]   6.00-7.00   sec   187 KBytes  1.54 Mbits/sec    0    175 KBytes       
[  8]   7.00-8.00   sec   187 KBytes  1.52 Mbits/sec    0    178 KBytes       
[  8]   8.00-9.00   sec   156 KBytes  1.28 Mbits/sec    0    181 KBytes       
[  8]   9.00-10.00  sec   189 KBytes  1.55 Mbits/sec    0    178 KBytes       
[  8]  10.00-11.00  sec   192 KBytes  1.57 Mbits/sec    0    175 KBytes       
[  8]  11.00-12.01  sec   192 KBytes  1.56 Mbits/sec    0    178 KBytes       
[  8]  12.01-13.00  sec   173 KBytes  1.43 Mbits/sec    0    178 KBytes       
[  8]  13.00-14.01  sec   187 KBytes  1.52 Mbits/sec    0    175 KBytes       
[  8]  14.01-15.01  sec   187 KBytes  1.53 Mbits/sec    0    178 KBytes       
[  8]  15.01-16.01  sec   157 KBytes  1.29 Mbits/sec    0    178 KBytes       
[  8]  16.01-17.00  sec   128 KBytes  1.05 Mbits/sec    0    175 KBytes       
[  8]  17.00-18.01  sec   128 KBytes  1.03 Mbits/sec    0    175 KBytes       
[  8]  18.01-19.00  sec   192 KBytes  1.60 Mbits/sec    0    173 KBytes       
[  8]  19.00-20.00  sec   172 KBytes  1.41 Mbits/sec    0    170 KBytes       
[  8]  20.00-21.01  sec   187 KBytes  1.52 Mbits/sec    0    173 KBytes       
[  8]  21.01-22.01  sec   187 KBytes  1.53 Mbits/sec    0    178 KBytes       
[  8]  22.01-23.01  sec   158 KBytes  1.30 Mbits/sec    0    184 KBytes       
[  8]  23.01-24.01  sec   192 KBytes  1.57 Mbits/sec    0    184 KBytes       
[  8]  24.01-25.01  sec   192 KBytes  1.57 Mbits/sec    0    181 KBytes       
[  8]  25.01-26.00  sec   173 KBytes  1.43 Mbits/sec    0    181 KBytes       
[  8]  26.00-27.00  sec   218 KBytes  1.78 Mbits/sec    0   5.66 KBytes       
[  8]  27.00-28.00  sec  56.9 KBytes   465 Kbits/sec    0    181 KBytes       
[  8]  28.00-29.00  sec   161 KBytes  1.32 Mbits/sec    0    178 KBytes       
[  8]  29.00-30.00  sec   187 KBytes  1.53 Mbits/sec    0    178 KBytes       
[  8]  30.00-31.00  sec   187 KBytes  1.53 Mbits/sec    0    167 KBytes       
[  8]  31.00-32.01  sec   170 KBytes  1.38 Mbits/sec    0    173 KBytes       
