Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 52476 connected to 10.0.0.4 port 5001
[  8]  69.00-70.00  sec   330 KBytes  2.70 Mbits/sec    0    136 KBytes       
[  8]  70.00-71.00  sec   342 KBytes  2.80 Mbits/sec    0    136 KBytes       
[  8]  71.00-72.00  sec   320 KBytes  2.63 Mbits/sec    0    136 KBytes       
[  8]  72.00-73.01  sec   352 KBytes  2.85 Mbits/sec    0    136 KBytes       
[  8]  73.01-74.00  sec   324 KBytes  2.68 Mbits/sec    0    136 KBytes       
[  8]  74.00-75.01  sec   348 KBytes  2.83 Mbits/sec    0    136 KBytes       
[  8]  75.01-76.01  sec   336 KBytes  2.76 Mbits/sec    0    136 KBytes       
[  8]  76.01-77.00  sec   342 KBytes  2.82 Mbits/sec    0    136 KBytes       
[  8]  77.00-78.01  sec   314 KBytes  2.56 Mbits/sec    0    136 KBytes       
[  8]  78.01-79.00  sec   340 KBytes  2.79 Mbits/sec    0    136 KBytes       
[  8]  79.00-80.00  sec   311 KBytes  2.55 Mbits/sec    0    136 KBytes       
[  8]  80.00-81.00  sec   342 KBytes  2.81 Mbits/sec    0    136 KBytes       
[  8]  81.00-82.00  sec   319 KBytes  2.62 Mbits/sec    0    136 KBytes       
[  8]  82.00-83.00  sec   352 KBytes  2.88 Mbits/sec    0    136 KBytes       
[  8]  83.00-84.00  sec   324 KBytes  2.66 Mbits/sec    0    136 KBytes       
[  8]  84.00-85.01  sec   348 KBytes  2.82 Mbits/sec    0    136 KBytes       
[  8]  85.01-86.00  sec   352 KBytes  2.91 Mbits/sec    0    136 KBytes       
[  8]  86.00-87.01  sec   327 KBytes  2.66 Mbits/sec    0    136 KBytes       
[  8]  87.01-88.00  sec   342 KBytes  2.82 Mbits/sec    0    136 KBytes       
[  8]  88.00-89.00  sec   291 KBytes  2.37 Mbits/sec    0    136 KBytes       
[  8]  89.00-90.00  sec   320 KBytes  2.63 Mbits/sec    0    136 KBytes       
[  8]  90.00-91.00  sec   323 KBytes  2.63 Mbits/sec    0    136 KBytes       
[  8]  91.00-92.00  sec   349 KBytes  2.87 Mbits/sec    0    136 KBytes       
[  8]  92.00-93.00  sec   335 KBytes  2.75 Mbits/sec    0    136 KBytes       
[  8]  93.00-94.00  sec   342 KBytes  2.80 Mbits/sec    0    136 KBytes       
[  8]  94.00-95.00  sec   342 KBytes  2.80 Mbits/sec    0    136 KBytes       
[  8]  95.00-96.01  sec   342 KBytes  2.78 Mbits/sec    0    136 KBytes       
[  8]  96.01-97.00  sec   342 KBytes  2.83 Mbits/sec    0    136 KBytes       
[  8]  97.00-98.00  sec   312 KBytes  2.56 Mbits/sec    0    136 KBytes       
[  8]  98.00-99.00  sec   352 KBytes  2.87 Mbits/sec    0    136 KBytes       
[  8]  99.00-100.00 sec   331 KBytes  2.73 Mbits/sec    0    136 KBytes       
[  8] 100.00-101.00 sec   342 KBytes  2.80 Mbits/sec    0    136 KBytes       
[  8] 101.00-102.00 sec   342 KBytes  2.80 Mbits/sec    0    136 KBytes       
[  8] 102.00-103.00 sec   328 KBytes  2.69 Mbits/sec    0    136 KBytes       
[  8] 103.00-104.00 sec   294 KBytes  2.41 Mbits/sec    0    136 KBytes       
[  8] 104.00-105.01 sec   346 KBytes  2.81 Mbits/sec    0    136 KBytes       
[  8] 105.01-106.01 sec   338 KBytes  2.77 Mbits/sec    0    136 KBytes       
[  8] 106.01-107.00 sec   334 KBytes  2.76 Mbits/sec    0    136 KBytes       
[  8] 107.00-108.01 sec   320 KBytes  2.60 Mbits/sec    0    136 KBytes       
[  8] 108.01-109.00 sec   352 KBytes  2.90 Mbits/sec    0    136 KBytes       
[  8] 109.00-110.00 sec   332 KBytes  2.71 Mbits/sec    0    136 KBytes       
[  8] 110.00-111.00 sec   311 KBytes  2.56 Mbits/sec    0    136 KBytes       
[  8] 111.00-112.00 sec   317 KBytes  2.60 Mbits/sec    0    136 KBytes       
[  8] 112.00-113.00 sec   320 KBytes  2.62 Mbits/sec    0    136 KBytes       
[  8] 113.00-114.01 sec   352 KBytes  2.85 Mbits/sec    0    136 KBytes       
[  8] 114.01-115.01 sec   320 KBytes  2.62 Mbits/sec    0    136 KBytes       
[  8] 115.01-116.01 sec   371 KBytes  3.04 Mbits/sec    0    136 KBytes       
