Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 52494 connected to 10.0.0.4 port 5001
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  8]   0.00-1.01   sec  1.25 MBytes  10.4 Mbits/sec    0   50.9 KBytes       
[  8]   1.01-2.00   sec   162 KBytes  1.34 Mbits/sec    0    133 KBytes       
[  8]   2.00-3.00   sec   342 KBytes  2.80 Mbits/sec    0    133 KBytes       
[  8]   3.00-4.00   sec   295 KBytes  2.42 Mbits/sec    0    133 KBytes       
[  8]   4.00-5.01   sec   327 KBytes  2.66 Mbits/sec    0    133 KBytes       
[  8]   5.01-6.00   sec   313 KBytes  2.57 Mbits/sec    0    133 KBytes       
[  8]   6.00-7.00   sec   352 KBytes  2.90 Mbits/sec    0    133 KBytes       
[  8]   7.00-8.00   sec   330 KBytes  2.70 Mbits/sec    0    133 KBytes       
[  8]   8.00-9.00   sec   311 KBytes  2.55 Mbits/sec    0    133 KBytes       
[  8]   9.00-10.00  sec   351 KBytes  2.87 Mbits/sec    0    133 KBytes       
[  8]  10.00-11.01  sec   334 KBytes  2.71 Mbits/sec    0    133 KBytes       
[  8]  11.01-12.01  sec   311 KBytes  2.55 Mbits/sec    0    133 KBytes       
[  8]  12.01-13.00  sec   347 KBytes  2.87 Mbits/sec    0    133 KBytes       
[  8]  13.00-14.00  sec   337 KBytes  2.76 Mbits/sec    0    133 KBytes       
[  8]  14.00-15.01  sec   342 KBytes  2.79 Mbits/sec    0    133 KBytes       
[  8]  15.01-16.01  sec   313 KBytes  2.56 Mbits/sec    0    133 KBytes       
[  8]  16.01-17.00  sec   341 KBytes  2.81 Mbits/sec    0    133 KBytes       
[  8]  17.00-18.00  sec   299 KBytes  2.45 Mbits/sec    0    133 KBytes       
[  8]  18.00-19.00  sec   323 KBytes  2.64 Mbits/sec    0    133 KBytes       
[  8]  19.00-20.00  sec   317 KBytes  2.60 Mbits/sec    0    133 KBytes       
[  8]  20.00-21.01  sec   320 KBytes  2.60 Mbits/sec    0    133 KBytes       
[  8]  21.01-22.00  sec   327 KBytes  2.71 Mbits/sec    0    133 KBytes       
[  8]  22.00-23.01  sec   313 KBytes  2.54 Mbits/sec    0    133 KBytes       
[  8]  23.01-24.01  sec   288 KBytes  2.36 Mbits/sec    0    133 KBytes       
[  8]  24.01-25.01  sec   301 KBytes  2.47 Mbits/sec    0    133 KBytes       
[  8]  25.01-26.00  sec   342 KBytes  2.82 Mbits/sec    0    133 KBytes       
[  8]  26.00-27.00  sec   348 KBytes  2.84 Mbits/sec    0    133 KBytes       
[  8]  27.00-28.00  sec   320 KBytes  2.63 Mbits/sec    0    133 KBytes       
[  8]  28.00-29.00  sec   327 KBytes  2.68 Mbits/sec    0    133 KBytes       
[  8]  29.00-30.00  sec   345 KBytes  2.82 Mbits/sec    0    133 KBytes       
[  8]  30.00-31.01  sec   352 KBytes  2.85 Mbits/sec    0    133 KBytes       
