Connecting to host 10.0.0.4, port 5001
[  8] local 10.0.0.2 port 52548 connected to 10.0.0.4 port 5001
[  8]  66.01-67.00  sec   245 KBytes  2.02 Mbits/sec    0   42.4 KBytes       
[  8]  67.00-68.01  sec   224 KBytes  1.83 Mbits/sec    0   45.2 KBytes       
[  8]  68.01-69.00  sec   278 KBytes  2.29 Mbits/sec    0   45.2 KBytes       
[  8]  69.00-70.00  sec   266 KBytes  2.17 Mbits/sec    0   45.2 KBytes       
[  8]  70.00-71.00  sec   263 KBytes  2.16 Mbits/sec    0   48.1 KBytes       
[  8]  71.00-72.00  sec   249 KBytes  2.05 Mbits/sec    0   45.2 KBytes       
[  8]  72.00-73.00  sec   256 KBytes  2.10 Mbits/sec    0   42.4 KBytes       
[  8]  73.00-74.01  sec   256 KBytes  2.08 Mbits/sec    0   42.4 KBytes       
[  8]  74.01-75.00  sec   265 KBytes  2.20 Mbits/sec    0   45.2 KBytes       
[  8]  75.00-76.00  sec   218 KBytes  1.78 Mbits/sec    0   45.2 KBytes       
[  8]  76.00-77.01  sec   253 KBytes  2.06 Mbits/sec    0   42.4 KBytes       
[  8]  77.01-78.00  sec   256 KBytes  2.11 Mbits/sec    0   48.1 KBytes       
[  8]  78.00-79.00  sec   269 KBytes  2.20 Mbits/sec    0   48.1 KBytes       
[  8]  79.00-80.00  sec   275 KBytes  2.25 Mbits/sec    0   48.1 KBytes       
[  8]  80.00-81.00  sec   224 KBytes  1.84 Mbits/sec    0   42.4 KBytes       
[  8]  81.00-82.00  sec   256 KBytes  2.09 Mbits/sec    0   45.2 KBytes       
[  8]  82.00-83.00  sec   272 KBytes  2.23 Mbits/sec    0   45.2 KBytes       
[  8]  83.00-84.01  sec   272 KBytes  2.21 Mbits/sec    0   45.2 KBytes       
[  8]  84.01-85.00  sec   225 KBytes  1.86 Mbits/sec    0   45.2 KBytes       
[  8]  85.00-86.00  sec   255 KBytes  2.09 Mbits/sec    0   42.4 KBytes       
