Connecting to host 10.0.0.3, port 5003
[  4] local 10.0.0.1 port 52032 connected to 10.0.0.3 port 5003
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  27.9 MBytes   234 Mbits/sec    0   2.13 MBytes       
[  4]   1.00-2.00   sec  30.0 MBytes   252 Mbits/sec    0   3.50 MBytes       
[  4]   2.00-3.00   sec  26.2 MBytes   220 Mbits/sec  1110   1.43 MBytes       
[  4]   3.00-4.00   sec  27.5 MBytes   231 Mbits/sec    0   1.53 MBytes       
[  4]   4.00-5.00   sec  27.5 MBytes   231 Mbits/sec    0   1.60 MBytes       
[  4]   5.00-6.00   sec  26.2 MBytes   220 Mbits/sec    0   1.66 MBytes       
[  4]   6.00-7.00   sec  27.5 MBytes   231 Mbits/sec    0   1.70 MBytes       
[  4]   7.00-8.00   sec  27.5 MBytes   231 Mbits/sec    0   1.72 MBytes       
[  4]   8.00-9.00   sec  27.5 MBytes   231 Mbits/sec    0   1.73 MBytes       
[  4]   9.00-10.00  sec  27.5 MBytes   231 Mbits/sec    0   1.74 MBytes       
[  4]  10.00-11.00  sec  27.5 MBytes   231 Mbits/sec    0   1.74 MBytes       
[  4]  11.00-12.00  sec  27.5 MBytes   231 Mbits/sec    0   1.74 MBytes       
[  4]  12.00-13.00  sec  27.5 MBytes   231 Mbits/sec    0   1.74 MBytes       
[  4]  13.00-14.00  sec  27.5 MBytes   231 Mbits/sec    0   1.75 MBytes       
[  4]  14.00-15.00  sec  26.2 MBytes   220 Mbits/sec    0   1.77 MBytes       
[  4]  15.00-16.00  sec  27.5 MBytes   231 Mbits/sec    0   1.80 MBytes       
[  4]  16.00-17.00  sec  27.5 MBytes   231 Mbits/sec    0   1.84 MBytes       
[  4]  17.00-18.00  sec  27.5 MBytes   231 Mbits/sec    0   1.91 MBytes       
[  4]  18.00-19.00  sec  27.5 MBytes   231 Mbits/sec    0   1.99 MBytes       
[  4]  19.00-20.00  sec  27.5 MBytes   231 Mbits/sec    0   2.10 MBytes       
[  4]  20.00-21.00  sec  27.5 MBytes   231 Mbits/sec    0   2.25 MBytes       
[  4]  21.00-22.00  sec  27.5 MBytes   231 Mbits/sec    0   2.42 MBytes       
[  4]  22.00-23.00  sec  27.5 MBytes   231 Mbits/sec    0   2.63 MBytes       
[  4]  23.00-24.00  sec  27.5 MBytes   231 Mbits/sec    0   2.87 MBytes       
[  4]  24.00-25.00  sec  27.5 MBytes   231 Mbits/sec    0   3.16 MBytes       
[  4]  25.00-26.00  sec  27.5 MBytes   231 Mbits/sec    0   3.49 MBytes       
[  4]  26.00-27.00  sec  27.5 MBytes   231 Mbits/sec    0   3.87 MBytes       
[  4]  27.00-28.00  sec  23.8 MBytes   199 Mbits/sec  1060   1.99 MBytes       
[  4]  28.00-29.00  sec  27.5 MBytes   231 Mbits/sec    0   2.10 MBytes       
[  4]  29.00-30.00  sec  27.5 MBytes   231 Mbits/sec    0   2.19 MBytes       
[  4]  30.00-31.01  sec  7.50 MBytes  62.3 Mbits/sec   52   1.98 MBytes       
[  4]  31.01-32.00  sec  21.2 MBytes   180 Mbits/sec  1108   1.14 MBytes       
[  4]  32.00-33.00  sec  26.2 MBytes   220 Mbits/sec    0   1.21 MBytes       
[  4]  33.00-34.00  sec  26.2 MBytes   220 Mbits/sec    0   1.26 MBytes       
[  4]  34.00-35.00  sec  25.0 MBytes   210 Mbits/sec    0   1.29 MBytes       
[  4]  35.00-36.00  sec  23.8 MBytes   199 Mbits/sec    0   1.31 MBytes       
[  4]  36.00-37.00  sec  25.0 MBytes   210 Mbits/sec    0   1.32 MBytes       
[  4]  37.00-38.00  sec  23.8 MBytes   199 Mbits/sec    0   1.33 MBytes       
[  4]  38.00-39.00  sec  23.8 MBytes   199 Mbits/sec    0   1.33 MBytes       
[  4]  39.00-40.00  sec  22.5 MBytes   189 Mbits/sec    0   1.33 MBytes       
[  4]  40.00-41.00  sec  21.2 MBytes   178 Mbits/sec    0   1.33 MBytes       
[  4]  41.00-42.00  sec  21.2 MBytes   178 Mbits/sec    0   1.34 MBytes       
[  4]  42.00-43.00  sec  20.0 MBytes   168 Mbits/sec    0   1.36 MBytes       
[  4]  43.00-44.00  sec  17.5 MBytes   147 Mbits/sec    0   1.40 MBytes       
[  4]  44.00-45.00  sec  16.2 MBytes   136 Mbits/sec   24    723 KBytes       
[  4]  45.00-46.00  sec  15.0 MBytes   126 Mbits/sec    0    783 KBytes       
[  4]  46.00-47.00  sec  13.8 MBytes   115 Mbits/sec    0    826 KBytes       
[  4]  47.00-48.00  sec  12.5 MBytes   105 Mbits/sec    0    851 KBytes       
[  4]  48.00-49.00  sec  13.8 MBytes   115 Mbits/sec    0    867 KBytes       
