Connecting to host 10.0.0.3, port 5001
[  4] local 10.0.0.1 port 44680 connected to 10.0.0.3 port 5001
[  4]  67.00-68.00  sec  20.0 MBytes   168 Mbits/sec    0   1.32 MBytes       
[  4]  68.00-69.00  sec  18.8 MBytes   157 Mbits/sec    0   1.33 MBytes       
[  4]  69.00-70.00  sec  18.8 MBytes   157 Mbits/sec    0   1.36 MBytes       
[  4]  70.00-71.00  sec  17.5 MBytes   147 Mbits/sec    0   1.40 MBytes       
[  4]  71.00-72.00  sec  18.8 MBytes   157 Mbits/sec   14   1.05 MBytes       
[  4]  72.00-73.00  sec  18.8 MBytes   157 Mbits/sec    0   1.17 MBytes       
[  4]  73.00-74.00  sec  20.0 MBytes   168 Mbits/sec    0   1.26 MBytes       
[  4]  74.00-75.00  sec  18.8 MBytes   157 Mbits/sec    0   1.32 MBytes       
[  4]  75.00-76.00  sec  20.0 MBytes   168 Mbits/sec    0   1.37 MBytes       
[  4]  76.00-77.00  sec  20.0 MBytes   168 Mbits/sec    0   1.40 MBytes       
[  4]  77.00-78.00  sec  20.0 MBytes   168 Mbits/sec    0   1.42 MBytes       
[  4]  78.00-79.00  sec  20.0 MBytes   168 Mbits/sec    0   1.43 MBytes       
[  4]  79.00-80.00  sec  20.0 MBytes   168 Mbits/sec    0   1.43 MBytes       
[  4]  80.00-81.00  sec  20.0 MBytes   168 Mbits/sec    0   1.43 MBytes       
[  4]  81.00-82.00  sec  18.8 MBytes   157 Mbits/sec    0   1.43 MBytes       
[  4]  82.00-83.00  sec  18.8 MBytes   157 Mbits/sec    0   1.44 MBytes       
[  4]  83.00-84.00  sec  18.8 MBytes   157 Mbits/sec    0   1.45 MBytes       
[  4]  84.00-85.00  sec  17.5 MBytes   147 Mbits/sec   30    755 KBytes       
[  4]  85.00-86.00  sec  17.5 MBytes   147 Mbits/sec    0    798 KBytes       
[  4]  86.00-87.00  sec  16.2 MBytes   136 Mbits/sec    0    840 KBytes       
[  4]  87.00-88.00  sec  17.5 MBytes   147 Mbits/sec    0    868 KBytes       
[  4]  88.00-89.00  sec  17.5 MBytes   147 Mbits/sec    0    884 KBytes       
[  4]  89.00-90.00  sec  17.5 MBytes   147 Mbits/sec    0    891 KBytes       
[  4]  90.00-91.00  sec  17.5 MBytes   147 Mbits/sec    0    892 KBytes       
[  4]  91.00-92.00  sec  16.2 MBytes   136 Mbits/sec    0    892 KBytes       
[  4]  92.00-93.00  sec  17.5 MBytes   147 Mbits/sec    0    894 KBytes       
[  4]  93.00-94.00  sec  16.2 MBytes   136 Mbits/sec    0    901 KBytes       
[  4]  94.00-95.00  sec  16.2 MBytes   136 Mbits/sec    0    916 KBytes       
[  4]  95.00-96.00  sec  16.2 MBytes   136 Mbits/sec    0    942 KBytes       
[  4]  96.00-97.00  sec  16.2 MBytes   136 Mbits/sec    0    983 KBytes       
[  4]  97.00-98.00  sec  15.0 MBytes   126 Mbits/sec    0   1.02 MBytes       
[  4]  98.00-99.00  sec  15.0 MBytes   126 Mbits/sec    0   1.10 MBytes       
[  4]  99.00-100.00 sec  15.0 MBytes   126 Mbits/sec    0   1.20 MBytes       
[  4] 100.00-101.00 sec  12.5 MBytes   105 Mbits/sec   96    915 KBytes       
[  4] 101.00-102.00 sec  17.5 MBytes   147 Mbits/sec    0   1.03 MBytes       
[  4] 102.00-103.00 sec  16.2 MBytes   136 Mbits/sec    0   1.12 MBytes       
[  4] 103.00-104.00 sec  17.5 MBytes   147 Mbits/sec    0   1.19 MBytes       
[  4] 104.00-105.00 sec  16.2 MBytes   136 Mbits/sec    0   1.24 MBytes       
[  4] 105.00-106.00 sec  17.5 MBytes   147 Mbits/sec    0   1.27 MBytes       
[  4] 106.00-107.00 sec  16.2 MBytes   136 Mbits/sec    0   1.29 MBytes       
[  4] 107.00-108.00 sec  17.5 MBytes   147 Mbits/sec    0   1.30 MBytes       
[  4] 108.00-109.00 sec  17.5 MBytes   147 Mbits/sec    0   1.31 MBytes       
[  4] 109.00-110.00 sec  16.2 MBytes   136 Mbits/sec    0   1.31 MBytes       
[  4] 110.00-111.00 sec  17.5 MBytes   147 Mbits/sec    0   1.31 MBytes       
[  4] 111.00-112.00 sec  16.2 MBytes   136 Mbits/sec    0   1.31 MBytes       
[  4] 112.00-113.00 sec  16.2 MBytes   136 Mbits/sec    0   1.32 MBytes       
[  4] 113.00-114.00 sec  16.2 MBytes   136 Mbits/sec    0   1.34 MBytes       
[  4] 114.00-115.00 sec  15.0 MBytes   126 Mbits/sec   13   1.02 MBytes       
[  4] 115.00-116.00 sec  16.2 MBytes   136 Mbits/sec    0   1.12 MBytes       
[  4] 116.00-117.00 sec  16.2 MBytes   136 Mbits/sec    0   1.20 MBytes       
[  4] 117.00-118.00 sec  15.0 MBytes   126 Mbits/sec    0   1.26 MBytes       
[  4] 118.00-119.00 sec  15.0 MBytes   126 Mbits/sec    0   1.30 MBytes       
[  4] 119.00-120.00 sec  15.0 MBytes   126 Mbits/sec   21    686 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-120.00 sec  1.91 GBytes   137 Mbits/sec  353             sender
[  4]   0.00-120.00 sec  1.90 GBytes   136 Mbits/sec                  receiver

iperf Done.
